Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  149    0 0xffffff7f81013000 0x3000     0x3000     com.apple.kext.AMDRadeonServiceManager (4.0.0) 50202037-7C47-399A-8C95-C7ACE1CB748D <14 5 3 1>
  150    1 0xffffff7fa044c000 0xf000     0xf000     com.apple.kext.OSvKernDSPLib (529) 8F4BD574-40D0-339E-8F82-17109DD9E7E4 <6 5>
  151    1 0xffffff7f9e569000 0xe3000    0xe3000    com.apple.driver.DspFuncLib (283.15) 54871A1A-822E-3BBA-9967-3A1B1E2C833C <150 130 129 66 7 6 5 3 1>
  152    0 0xffffff7f9e487000 0x90000    0x90000    com.apple.driver.AppleHDA (283.15) FC41D02F-1782-30CF-B8B3-BF77A5774546 <151 132 131 130 117 108 7 6 5 3 1>
  153    0 0xffffff7f81018000 0x43b000   0x43b000   com.apple.kext.AMDRadeonX4000 (4.0.0) 4696A169-0DE1-382E-91E6-F8DE8D2EB8BA <120 108 95 14 8 6 5 3 1>
  154    0 0xffffff7f9e552000 0x1000     0x1000     com.apple.driver.AppleHDAHardwareConfigDriver (283.15) 6C4EE48E-6AB3-3A20-94DF-22CB5BF04DF0 <5 3>
  155    0 0xffffff7f814ae000 0x2f8000   0x2f8000   com.apple.kext.AMDRadeonX4000HWLibs (1.0) 06501143-3C0F-3046-86B7-6AC8043F6961 <14 6 5 3 1>
  157    0 0xffffff7f80fe8000 0x27000    0x27000    com.apple.kext.AMDFramebuffer (4.0.0) F25F66AD-8015-3278-85EA-B22C6D98F65D <110 108 14 13 8 6 5 3 1>
  158    1 0xffffff8002cd0000 0x1000     0x1000     com.apple.iokit.IOSMBusFamily (1.1) 1B91C74F-E16F-30B0-93C2-B16EA181DC59 <6 5 3>
  159    1 0xffffff7f9f8d4000 0x7000     0x7000     com.apple.driver.AppleSMBusController (1.0.18d1) C6B5E184-06C1-3BAA-93D6-57C291B3B9CC <158 14 13 6 5 3>
  160    0 0xffffff7f9f885000 0xb000     0xb000     com.apple.driver.AppleMCCSControl (1.14) 1C831CF6-A458-3AAC-95EC-305A462B6E6C <159 108 15 14 13 8 6 5 3 1>
  161    0 0xffffff7f9f9ca000 0x3000     0x3000     com.apple.driver.AppleUpstreamUserClient (3.6.8) E8ABDCE0-2B40-32BF-B2B3-52174DD3F4F7 <108 14 13 8 6 5 3 1>
  162    1 0xffffff7fa0723000 0x3000     0x3000     com.apple.kext.triggers (1.0) 9FD0EB89-CC8A-3913-8115-21C72665246F <8 7 6 5 3 1>
  163    0 0xffffff7fa05fa000 0x8000     0x8000     com.apple.filesystems.autofs (3.0) F25AED50-A148-3DEA-856B-52F12E521A14 <162 8 7 6 5 3 2 1>
